171514,ÇvÇbÇlÅ@ê¢äEê¨í∑äîåµëIÉtÉ@ÉìÉhÅió\ëzï™îzã‡íÒé¶å^Åj,,,
 îNåéì˙,äÓèÄâøäzÅiâ~Åj,äÓèÄâøäzÅiê≈à¯ëOï™îzã‡çƒìäéëÅjÅiâ~Åj,èÉéëéYëçäzÅiïSñúâ~Åj,ï™îzã‡Åiâ~Åj
2021/10/13,10001,10001,1453,0
2021/10/14,10046,10046,1459,0
2021/10/15,10303,10303,1533,0
2021/10/18,10375,10375,1561,0
2021/10/19,10380,10380,1567,0
2021/10/20,10488,10488,1588,0
2021/10/21,10486,10486,1595,0
2021/10/22,10567,10567,1617,0
2021/10/25,10445,10445,1611,0
2021/10/26,10479,10479,1626,0
2021/10/27,10487,10487,1634,0
2021/10/28,10386,10386,1624,0
2021/10/29,10545,10545,1662,0
2021/11/01,10561,10561,1666,0
2021/11/02,10706,10706,1698,0
2021/11/04,10807,10807,1716,0
2021/11/05,10835,10835,1724,0
2021/11/08,10729,10729,1709,0
2021/11/09,10824,10824,1743,0
2021/11/10,10863,10863,1759,0
2021/11/11,10657,10657,1750,0
2021/11/12,10722,10722,1768,0
2021/11/15,10801,10801,1790,0
2021/11/16,10823,10823,1794,0
2021/11/17,10969,10969,1823,0
2021/11/18,10871,10871,1807,0
2021/11/19,10865,10865,1820,0
2021/11/22,10847,10847,1819,0
2021/11/24,10467,10467,1772,0
2021/11/25,10421,10521,1787,100
2021/11/26,10428,10528,1799,0
2021/11/29,10240,10338,1767,0
2021/11/30,10387,10487,1794,0
2021/12/01,10216,10314,1765,0
2021/12/02,9969,10065,1722,0
2021/12/03,9886,9981,1708,0
2021/12/06,9639,9731,1677,0
2021/12/07,9664,9757,1681,0
2021/12/08,10026,10122,1746,0
2021/12/09,10161,10259,1770,0
2021/12/10,9905,10000,1727,0
2021/12/13,9795,9889,1711,0
2021/12/14,9742,9835,1712,0
2021/12/15,9504,9595,1681,0
2021/12/16,9681,9774,1714,0
2021/12/17,9505,9596,1684,0
2021/12/20,9423,9513,1674,0
2021/12/21,9309,9398,1666,0
2021/12/22,9547,9639,1708,0
2021/12/23,9667,9760,1731,0
2021/12/24,9765,9859,1752,0
2021/12/27,9756,9850,1751,0
2021/12/28,9899,9994,1776,0
2021/12/29,9821,9915,1765,0
2021/12/30,9891,9986,1778,0
2022/01/04,9821,9915,1767,0
2022/01/05,9665,9758,1739,0
2022/01/06,9353,9443,1683,0
2022/01/07,9299,9388,1673,0
2022/01/11,8997,9083,1619,0
2022/01/12,9154,9242,1647,0
2022/01/13,9104,9191,1638,0
2022/01/14,8699,8782,1566,0
2022/01/17,8547,8629,1538,0
2022/01/18,8601,8684,1548,0
2022/01/19,8303,8383,1494,0
2022/01/20,8270,8349,1488,0
2022/01/21,8205,8284,1477,0
2022/01/24,7978,8055,1440,0
2022/01/25,8003,8080,1444,0
2022/01/26,7807,7882,1409,0
2022/01/27,7854,7929,1417,0
2022/01/28,7741,7815,1397,0
2022/01/31,7912,7988,1428,0
2022/02/01,8271,8350,1494,0
2022/02/02,8406,8487,1518,0
2022/02/03,8385,8465,1514,0
2022/02/04,8179,8257,1477,0
2022/02/07,8310,8390,1501,0
2022/02/08,8326,8406,1503,0
2022/02/09,8361,8441,1510,0
2022/02/10,8648,8731,1562,0
2022/02/14,8243,8322,1488,0
2022/02/15,8171,8249,1475,0
2022/02/16,8414,8495,1519,0
2022/02/17,8371,8451,1512,0
